"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Ensembl_ID" "Gene.name"
"ENSG00000154065.17" -2.72529311010289 3.15433094024685 -22.5072063597455 4.14174009768234e-59 7.1916038107894e-57 124.06706237894 "ENSG00000154065.17" "ANKRD29"
"ENSG00000111665.12" 2.83353313344928 1.90468072211931 22.4365951114136 6.72077175521905e-59 1.1556464908416e-56 123.583174702726 "ENSG00000111665.12" "CDCA3"
"ENSG00000100526.20" 2.82092389619658 1.68614151556688 22.4152070877577 7.78306760366363e-59 1.32544144546622e-56 123.430817945587 "ENSG00000100526.20" "CDKN3"
"ENSG00000156970.13" 3.08695778706766 2.25402235935579 22.4030570106728 8.45991560449687e-59 1.42698633591661e-56 123.357970555593 "ENSG00000156970.13" "BUB1B"
"ENSG00000148773.14" 3.46556326147837 4.72102385410335 22.3743130911795 1.03055816658959e-58 1.72190714042154e-56 123.125505271737 "ENSG00000148773.14" "MKI67"
"ENSG00000118495.20" -2.06931115442627 4.34183295343175 -22.3216184317971 1.48014887191796e-58 2.43182235142497e-56 122.76781307072 "ENSG00000118495.20" "PLAGL1"
"ENSG00000129810.15" 3.31646293972122 0.186769542592401 22.3213480605839 1.48290222999208e-58 2.43182235142497e-56 122.748142282932 "ENSG00000129810.15" "SGO1"
"ENSG00000123243.15" -3.95777064189287 5.88939071281853 -22.3033212908505 1.67855325131678e-58 2.72741803982307e-56 122.630483370283 "ENSG00000123243.15" "ITIH5"
"ENSG00000213186.8" 2.19761955829632 2.64872692171723 22.2817890240062 1.94646350046854e-58 3.13398318698167e-56 122.528557111243 "ENSG00000213186.8" "TRIM59"
"ENSG00000142945.13" 3.17409680996615 2.65437255167737 22.2699046248212 2.11228308259284e-58 3.37032843926142e-56 122.445947431577 "ENSG00000142945.13" "KIF2C"
"ENSG00000198838.14" -2.65647235174441 1.95443237771699 -22.2051421704452 3.29887197024208e-58 5.2022726425437e-56 121.999648199159 "ENSG00000198838.14" "RYR3"
"ENSG00000122591.12" -1.86931361892341 5.06131744848483 -22.2042519178219 3.31916215124746e-58 5.2022726425437e-56 121.936731886262 "ENSG00000122591.12" "FAM126A"
"ENSG00000127564.17" 3.93755920628594 1.35422665127189 22.1414981934581 5.11501431343336e-58 7.94666828993142e-56 121.560324580046 "ENSG00000127564.17" "PKMYT1"
"ENSG00000137727.12" -2.85667025779841 2.79165717042703 -22.1309952711457 5.4992241520925e-58 8.46928338762698e-56 121.493569889234 "ENSG00000137727.12" "ARHGAP20"
"ENSG00000024526.17" 3.37096484129932 1.60620351222411 22.1130457416432 6.22401436932187e-58 9.50288952543617e-56 121.365585313034 "ENSG00000024526.17" "DEPDC1"
"ENSG00000286214.1" -4.5321129370145 2.59403704626275 -22.1027867026786 6.68051256641696e-58 1.01126972704112e-55 121.297843733752 "ENSG00000286214.1" "AUXG01000058.1"
"ENSG00000148053.17" -3.83789081126273 6.70094805956843 -21.9930707731609 1.42525154520661e-57 2.13920594213172e-55 120.482215545489 "ENSG00000148053.17" "NTRK2"
"ENSG00000131747.15" 3.77428119901291 5.08242608193046 21.9860637590105 1.49599244983639e-57 2.22651447723129e-55 120.451630031717 "ENSG00000131747.15" "TOP2A"
"ENSG00000072163.20" -2.20664979780192 5.01552957473533 -21.9491475286822 1.93111647048324e-57 2.85016698406073e-55 120.185650442873 "ENSG00000072163.20" "LIMS2"
"ENSG00000215386.13" -2.24986604170269 3.118784817849 -21.9360239166418 2.11466955053895e-57 3.09528201732193e-55 120.147927574877 "ENSG00000215386.13" "MIR99AHG"
"ENSG00000076382.17" 2.57696968810466 3.33023270254562 21.9105634532461 2.52215470950797e-57 3.66146574263079e-55 119.966087995745 "ENSG00000076382.17" "SPAG5"
"ENSG00000184271.17" -1.37321989516939 3.57170915031048 -21.9046135328968 2.6282145699289e-57 3.78441530471631e-55 119.922323574767 "ENSG00000184271.17" "POU6F1"
"ENSG00000117399.14" 3.34942916227812 3.02231146661199 21.8725366659479 3.28197081515821e-57 4.68766008929573e-55 119.706047723943 "ENSG00000117399.14" "CDC20"
"ENSG00000135451.13" 3.34183511590197 1.44029859668278 21.870703995219 3.32390205394316e-57 4.70957034219098e-55 119.696310143217 "ENSG00000135451.13" "TROAP"
"ENSG00000122952.17" 2.54380453371265 3.91155498522925 21.8494395402367 3.8515353118543e-57 5.41385253240092e-55 119.528617448737 "ENSG00000122952.17" "ZWINT"
"ENSG00000105974.13" -3.10021261208227 7.72363578744452 -21.7811929119388 6.18225572424873e-57 8.62156938048577e-55 119.000809444876 "ENSG00000105974.13" "CAV1"
"ENSG00000276043.5" 3.61220059474599 2.32950937200382 21.7477359578457 7.79800710512953e-57 1.07898831124179e-54 118.852242607985 "ENSG00000276043.5" "UHRF1"
"ENSG00000145386.11" 2.90617520391839 2.70523249138884 21.7431050636067 8.0527695682242e-57 1.10560156451798e-54 118.817724139807 "ENSG00000145386.11" "CCNA2"
"ENSG00000101447.15" 3.49678588376589 2.1288583794639 21.7378106760246 8.35427206759567e-57 1.13817317376298e-54 118.784468618906 "ENSG00000101447.15" "FAM83D"
"ENSG00000169241.19" 1.84715181352188 5.65124236101029 21.6972624852404 1.10717051398582e-56 1.4968776315422e-54 118.415718842859 "ENSG00000169241.19" "SLC50A1"
"ENSG00000113578.18" -2.15992715758599 4.70013922515965 -21.5671470895328 2.73681696720592e-56 3.67210343228667e-54 117.549959400226 "ENSG00000113578.18" "FGF1"
"ENSG00000078596.11" -2.67500529150398 5.26095797502193 -21.5618841625233 2.83897228123425e-56 3.78052917841653e-54 117.50231546407 "ENSG00000078596.11" "ITM2A"
"ENSG00000121152.10" 2.70351704240737 2.46640554117799 21.5257289968489 3.65202917041916e-56 4.82694691323088e-54 117.314960916131 "ENSG00000121152.10" "NCAPH"
"ENSG00000182916.8" -2.34568411674604 1.6851443305458 -21.4809658009671 4.98928931890339e-56 6.54557800941467e-54 116.996322621863 "ENSG00000182916.8" "TCEAL7"
"ENSG00000089685.15" 3.73890781440333 3.07563488954143 21.3864183882145 9.65111644002573e-56 1.25684502403894e-53 116.332693341735 "ENSG00000089685.15" "BIRC5"
"ENSG00000262097.2" -2.89987411348034 0.191244687126124 -21.374365453829 1.04987547639991e-55 1.35725142792108e-53 116.22271069544 "ENSG00000262097.2" "LINC02185"
"ENSG00000167779.9" -3.45017247589171 4.35181497066784 -21.3657523019846 1.11498381374207e-55 1.43097669023086e-53 116.16713405825 "ENSG00000167779.9" "IGFBP6"
"ENSG00000065802.12" -1.12998615070536 4.76925401043271 -21.3613480941668 1.14982455312632e-55 1.46507501154103e-53 116.102890500427 "ENSG00000065802.12" "ASB1"
"ENSG00000035499.13" 3.04303008035987 0.846150505701668 21.3593518686068 1.16597366055143e-55 1.47503996443046e-53 116.143509174774 "ENSG00000035499.13" "DEPDC1B"
"ENSG00000186642.16" -2.99100995217709 4.30898236556681 -21.3497487294492 1.24689646726923e-55 1.56622576821314e-53 116.055916056318 "ENSG00000186642.16" "PDE2A"
"ENSG00000112742.10" 2.82784227348639 2.28935637535562 21.3442041764681 1.29615808390748e-55 1.61663773409052e-53 116.053730358926 "ENSG00000112742.10" "TTK"
"ENSG00000075218.19" 2.89170848654652 1.7786359093258 21.3398827760961 1.33590131537929e-55 1.65455581794983e-53 116.02350503138 "ENSG00000075218.19" "GTSE1"
"ENSG00000186185.14" 3.59459309584036 1.18695031164016 21.294830130956 1.83052028632386e-55 2.25141283271402e-53 115.706671680056 "ENSG00000186185.14" "KIF18B"
"ENSG00000226237.2" -2.28937039235697 1.0756020591328 -21.2594576521217 2.34451034877385e-55 2.8636981232506e-53 115.445862753593 "ENSG00000226237.2" "GAS1RR"
"ENSG00000135046.14" -2.50683339484065 8.17378003019856 -21.2166816467178 3.16306436783664e-55 3.83705705607909e-53 115.072783852509 "ENSG00000135046.14" "ANXA1"
"ENSG00000214140.11" -2.22810803725178 -0.152977985554333 -21.1711674154634 4.35099653126786e-55 5.24221085478129e-53 114.799986898787 "ENSG00000214140.11" "PRCD"
"ENSG00000101003.10" 2.40439795990901 2.86701978686848 21.1688446322229 4.42240731526332e-55 5.29224702436681e-53 114.825788315931 "ENSG00000101003.10" "GINS1"
"ENSG00000235505.7" -2.0805649081171 1.60099182361397 -21.1651980004883 4.53689535121299e-55 5.39281567552572e-53 114.800361630977 "ENSG00000235505.7" "CASP4LP"
"ENSG00000154330.13" -2.8565569164503 3.81214574925554 -21.1620267561077 4.6388708475791e-55 5.44680687340904e-53 114.758857079779 "ENSG00000154330.13" "PGM5"
"ENSG00000277494.2" -3.99768944496393 2.84778045918369 -21.1618744778066 4.64382495559124e-55 5.44680687340904e-53 114.773834525995 "ENSG00000277494.2" "GPIHBP1"
"ENSG00000128918.15" -3.15976400612726 2.45837606264236 -21.138758598327 5.46081655556615e-55 6.36292907997579e-53 114.620878724117 "ENSG00000128918.15" "ALDH1A2"
"ENSG00000183682.8" 2.57536797904391 1.99711532104096 21.1139390621794 6.49913954718246e-55 7.5232850013169e-53 114.448252738018 "ENSG00000183682.8" "BMP8A"
"ENSG00000169252.6" -3.01127338547638 2.47645828437508 -21.1036753824207 6.98436715197681e-55 8.03247575510788e-53 114.375231896275 "ENSG00000169252.6" "ADRB2"
"ENSG00000130032.17" -3.52828244978196 1.08929190974774 -21.0790271361383 8.30321110751397e-55 9.4876239951729e-53 114.197289523052 "ENSG00000130032.17" "PRRG3"
"ENSG00000237649.8" 2.94786199361711 3.16473170293192 21.0670467301078 9.0316864369643e-55 1.02538588772484e-52 114.102174177024 "ENSG00000237649.8" "KIFC1"
"ENSG00000245812.3" -3.24626899423314 0.0588909805454664 -21.0657978080808 9.11122241752236e-55 1.02782713526585e-52 114.078131562706 "ENSG00000245812.3" "LINC02202"
"ENSG00000123473.16" 2.11424812809988 3.03879174486593 21.0451571436658 1.053218264782e-54 1.18060434731354e-52 113.957069056728 "ENSG00000123473.16" "STIL"
"ENSG00000168309.18" -3.50046044238187 3.96018904896621 -21.0415768585492 1.08003603831702e-54 1.20305146381338e-52 113.905387451495 "ENSG00000168309.18" "FAM107A"
